Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2017.0,Percent,Shygys Kazakhstan,0.16,KAZ,,,,,
2017.0,Percent,Nur-Sultan city,0.28,KAZ,,,,,
2017.0,Percent,Almaty city,0.21,KAZ,,,,,
2018.0,Percent,,0.12,KAZ,,,,,
2018.0,Percent,Akmola,0.1,KAZ,,,,,
2018.0,Percent,Aktobe,0.04,KAZ,,,,,
2018.0,Percent,Almaty,0.04,KAZ,,,,,
2018.0,Percent,Atyrau,0.06,KAZ,,,,,
2018.0,Percent,Batys Kazakhstan,0.03,KAZ,,,,,
2018.0,Percent,Zhambyl,0.05,KAZ,,,,,
2018.0,Percent,Karagandy,0.07,KAZ,,,,,
2018.0,Percent,Kostanay,0.04,KAZ,,,,,
2018.0,Percent,Kyzylorda,0.02,KAZ,,,,,
2018.0,Percent,Mangistau,0.26,KAZ,,,,,
2018.0,Percent,Pavlodar,0.01,KAZ,,,,,
2018.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
2018.0,Percent,Turkistan,0.02,KAZ,,,,,
2018.0,Percent,Shygys Kazakhstan,0.15,KAZ,,,,,
2018.0,Percent,Nur-Sultan city,0.21,KAZ,,,,,
2018.0,Percent,Almaty city,0.22,KAZ,,,,,
2018.0,Percent,Shymkent city,0.05,KAZ,,,,,
2019.0,Percent,,0.12,KAZ,,,,,
2019.0,Percent,Akmola,0.08,KAZ,,,,,
2019.0,Percent,Aktobe,0.03,KAZ,,,,,
2019.0,Percent,Almaty,0.05,KAZ,,,,,
2019.0,Percent,Atyrau,0.06,KAZ,,,,,
2019.0,Percent,Batys Kazakhstan,0.04,KAZ,,,,,
2019.0,Percent,Zhambyl,0.04,KAZ,,,,,
2019.0,Percent,Karagandy,0.08,KAZ,,,,,
2019.0,Percent,Kostanay,0.03,KAZ,,,,,
2019.0,Percent,Kyzylorda,0.01,KAZ,,,,,
2019.0,Percent,Mangistau,0.27,KAZ,,,,,
2019.0,Percent,Pavlodar,0.04,KAZ,,,,,
2019.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
2019.0,Percent,Turkistan,0.01,KAZ,,,,,
2019.0,Percent,Shygys Kazakhstan,0.17,KAZ,,,,,
2019.0,Percent,Nur-Sultan city,0.26,KAZ,,,,,
2019.0,Percent,Almaty city,0.19,KAZ,,,,,
2019.0,Percent,Shymkent city,0.05,KAZ,,,,,
2020.0,Percent,,0.13,KAZ,,,,,
2020.0,Percent,Akmola,0.07,KAZ,,,,,
2020.0,Percent,Aktobe,0.04,KAZ,,,,,
2020.0,Percent,Almaty,0.05,KAZ,,,,,
2020.0,Percent,Atyrau,0.07,KAZ,,,,,
2020.0,Percent,Batys Kazakhstan,0.04,KAZ,,,,,
2020.0,Percent,Zhambyl,0.11,KAZ,,,,,
2020.0,Percent,Karagandy,0.06,KAZ,,,,,
2020.0,Percent,Kostanay,0.03,KAZ,,,,,
2020.0,Percent,Kyzylorda,0.02,KAZ,,,,,
2020.0,Percent,Mangistau,0.34,KAZ,,,,,
2020.0,Percent,Pavlodar,0.02,KAZ,,,,,
2020.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
2020.0,Percent,Turkistan,0.02,KAZ,,,,,
2020.0,Percent,Shygys Kazakhstan,0.11,KAZ,,,,,
2020.0,Percent,Nur-Sultan city,0.24,KAZ,,,,,
2020.0,Percent,Almaty city,0.24,KAZ,,,,,
2020.0,Percent,Shymkent city,0.07,KAZ,,,,,
2017.0,,,0.11,KGZ,,,,,
2018.0,,,0.1,KGZ,,,,,
2019.0,,,0.09,KGZ,,,,,
2020.0,,,0.09,KGZ,,,,,
2021.0,,,0.08,KGZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,0.4
,,,,UZB,01_101_,Total,True,2001.0,0.3
,,,,UZB,01_101_,Total,True,2002.0,0.3
,,,,UZB,01_101_,Total,True,2003.0,0.3
,,,,UZB,01_101_,Total,True,2004.0,0.3
,,,,UZB,01_101_,Total,True,2005.0,0.2
,,,,UZB,01_101_,Total,True,2006.0,0.2
,,,,UZB,01_101_,Total,True,2007.0,0.2
,,,,UZB,01_101_,Total,True,2008.0,0.2
,,,,UZB,01_101_,Total,True,2009.0,0.2
,,,,UZB,01_101_,Total,True,2010.0,0.2
,,,,UZB,01_101_,Total,True,2011.0,0.2
,,,,UZB,01_101_,Total,True,2012.0,0.2
,,,,UZB,01_101_,Total,True,2013.0,0.2
,,,,UZB,01_101_,Total,True,2014.0,0.2
,,,,UZB,01_101_,Total,True,2015.0,0.2
,,,,UZB,01_101_,Total,True,2016.0,0.2
,,,,UZB,01_101_,Total,True,2017.0,0.2
,,,,UZB,01_101_,Total,True,2018.0,0.1
,,,,UZB,01_101_,Total,True,2019.0,0.1
,,,,UZB,01_101_,Total,True,2020.0,0.1
,,,,UZB,01_101_,Total,True,2021.0,0.1
