Year,UNIT_MEASURE,Value,M49_country_code,Reference area,Sex,GeoCode
2016,,8.6,KGZ,Batken,,KG05
2017,,2.6,KGZ,Batken,,KG05
2018,,3.080721,KGZ,Batken,,KG05
2019,,4.894164,KGZ,Batken,,KG05
2020,,1.658051,KGZ,Batken,,KG05
2021,,2.348902,KGZ,Batken,,KG05
2007,,18.345435,KGZ,Batken,Female,KG05
2008,,17.247244,KGZ,Batken,Female,KG05
2009,,9.457249,KGZ,Batken,Female,KG05
2010,,3.253393,KGZ,Batken,Female,KG05
2011,,8.215202,KGZ,Batken,Female,KG05
2012,,6.264963,KGZ,Batken,Female,KG05
2013,,7.0,KGZ,Batken,Female,KG05
2014,,5.1,KGZ,Batken,Female,KG05
2015,,4.2,KGZ,Batken,Female,KG05
2016,,9.0,KGZ,Batken,Female,KG05
2017,,2.8,KGZ,Batken,Female,KG05
2018,,2.746401,KGZ,Batken,Female,KG05
2019,,2.302335,KGZ,Batken,Female,KG05
2020,,1.446749,KGZ,Batken,Female,KG05
2021,,1.841024,KGZ,Batken,Female,KG05
2007,,21.956256,KGZ,Batken,Male,KG05
2008,,22.68529,KGZ,Batken,Male,KG05
2009,,13.700569,KGZ,Batken,Male,KG05
2010,,5.848164,KGZ,Batken,Male,KG05
2011,,15.052973,KGZ,Batken,Male,KG05
2012,,10.850459,KGZ,Batken,Male,KG05
2013,,7.2,KGZ,Batken,Male,KG05
2014,,6.2,KGZ,Batken,Male,KG05
2015,,5.7,KGZ,Batken,Male,KG05
2016,,8.3,KGZ,Batken,Male,KG05
2017,,2.3,KGZ,Batken,Male,KG05
2018,,3.402904,KGZ,Batken,Male,KG05
2019,,7.389891,KGZ,Batken,Male,KG05
2020,,1.877412,KGZ,Batken,Male,KG05
2021,,2.838268,KGZ,Batken,Male,KG05
2007,,5.870303,KGZ,Jalal-Abad,,KG03
2008,,6.4034,KGZ,Jalal-Abad,,KG03
2009,,6.305723,KGZ,Jalal-Abad,,KG03
2010,,5.922974,KGZ,Jalal-Abad,,KG03
2011,,4.782698,KGZ,Jalal-Abad,,KG03
2012,,8.916337,KGZ,Jalal-Abad,,KG03
2013,,7.2,KGZ,Jalal-Abad,,KG03
2014,,5.8,KGZ,Jalal-Abad,,KG03
2015,,4.4,KGZ,Jalal-Abad,,KG03
2016,,2.6,KGZ,Jalal-Abad,,KG03
2017,,3.3,KGZ,Jalal-Abad,,KG03
2018,,2.661109,KGZ,Jalal-Abad,,KG03
2019,,3.179541,KGZ,Jalal-Abad,,KG03
2020,,0.960244,KGZ,Jalal-Abad,,KG03
2021,,1.258421,KGZ,Jalal-Abad,,KG03
2007,,4.656511,KGZ,Jalal-Abad,Female,KG03
2008,,4.604632,KGZ,Jalal-Abad,Female,KG03
2009,,5.719538,KGZ,Jalal-Abad,Female,KG03
2010,,4.08245,KGZ,Jalal-Abad,Female,KG03
2011,,4.788933,KGZ,Jalal-Abad,Female,KG03
2012,,7.898627,KGZ,Jalal-Abad,Female,KG03
2013,,6.6,KGZ,Jalal-Abad,Female,KG03
2014,,3.3,KGZ,Jalal-Abad,Female,KG03
2015,,3.5,KGZ,Jalal-Abad,Female,KG03
2016,,2.4,KGZ,Jalal-Abad,Female,KG03
2017,,2.7,KGZ,Jalal-Abad,Female,KG03
2018,,1.673357,KGZ,Jalal-Abad,Female,KG03
2019,,2.297402,KGZ,Jalal-Abad,Female,KG03
2020,,0.635959,KGZ,Jalal-Abad,Female,KG03
2021,,0.792025,KGZ,Jalal-Abad,Female,KG03
2007,,7.083701,KGZ,Jalal-Abad,Male,KG03
2008,,8.200459,KGZ,Jalal-Abad,Male,KG03
2009,,6.89089,KGZ,Jalal-Abad,Male,KG03
2010,,7.759592,KGZ,Jalal-Abad,Male,KG03
2011,,4.77648,KGZ,Jalal-Abad,Male,KG03
2012,,9.930263,KGZ,Jalal-Abad,Male,KG03
2013,,7.7,KGZ,Jalal-Abad,Male,KG03
2014,,8.3,KGZ,Jalal-Abad,Male,KG03
2015,,5.3,KGZ,Jalal-Abad,Male,KG03
2016,,2.8,KGZ,Jalal-Abad,Male,KG03
2017,,3.9,KGZ,Jalal-Abad,Male,KG03
2018,,3.636935,KGZ,Jalal-Abad,Male,KG03
2019,,4.050498,KGZ,Jalal-Abad,Male,KG03
2020,,1.288842,KGZ,Jalal-Abad,Male,KG03
2021,,1.718369,KGZ,Jalal-Abad,Male,KG03
2007,,10.136497,KGZ,Issyk-Kul,,KG02
2008,,7.333378,KGZ,Issyk-Kul,,KG02
2009,,9.101396,KGZ,Issyk-Kul,,KG02
2010,,9.25673,KGZ,Issyk-Kul,,KG02
2011,,10.980097,KGZ,Issyk-Kul,,KG02
2012,,8.209561,KGZ,Issyk-Kul,,KG02
2013,,9.9,KGZ,Issyk-Kul,,KG02
2014,,6.9,KGZ,Issyk-Kul,,KG02
2015,,5.4,KGZ,Issyk-Kul,,KG02
2016,,4.4,KGZ,Issyk-Kul,,KG02
2017,,4.6,KGZ,Issyk-Kul,,KG02
2018,,6.168093,KGZ,Issyk-Kul,,KG02
2019,,2.231658,KGZ,Issyk-Kul,,KG02
2020,,1.603235,KGZ,Issyk-Kul,,KG02
2021,,1.786008,KGZ,Issyk-Kul,,KG02
2007,,6.813722,KGZ,Issyk-Kul,Female,KG02
2008,,5.881022,KGZ,Issyk-Kul,Female,KG02
2009,,5.848427,KGZ,Issyk-Kul,Female,KG02
2010,,4.917674,KGZ,Issyk-Kul,Female,KG02
2011,,7.995523,KGZ,Issyk-Kul,Female,KG02
2012,,7.042811,KGZ,Issyk-Kul,Female,KG02
2013,,6.5,KGZ,Issyk-Kul,Female,KG02
2014,,5.2,KGZ,Issyk-Kul,Female,KG02
2015,,4.7,KGZ,Issyk-Kul,Female,KG02
2016,,2.5,KGZ,Issyk-Kul,Female,KG02
2017,,5.4,KGZ,Issyk-Kul,Female,KG02
2018,,2.86608,KGZ,Issyk-Kul,Female,KG02
2019,,2.020684,KGZ,Issyk-Kul,Female,KG02
2020,,2.414672,KGZ,Issyk-Kul,Female,KG02
2021,,1.580709,KGZ,Issyk-Kul,Female,KG02
2007,,13.555773,KGZ,Issyk-Kul,Male,KG02
2008,,8.824445,KGZ,Issyk-Kul,Male,KG02
2009,,12.43031,KGZ,Issyk-Kul,Male,KG02
2010,,13.683759,KGZ,Issyk-Kul,Male,KG02
2011,,14.018523,KGZ,Issyk-Kul,Male,KG02
2012,,9.395469,KGZ,Issyk-Kul,Male,KG02
2013,,13.3,KGZ,Issyk-Kul,Male,KG02
2014,,8.7,KGZ,Issyk-Kul,Male,KG02
2015,,6.0,KGZ,Issyk-Kul,Male,KG02
2016,,6.4,KGZ,Issyk-Kul,Male,KG02
2017,,3.8,KGZ,Issyk-Kul,Male,KG02
2018,,9.498716,KGZ,Issyk-Kul,Male,KG02
2019,,2.44433,KGZ,Issyk-Kul,Male,KG02
2020,,0.798371,KGZ,Issyk-Kul,Male,KG02
2021,,1.993096,KGZ,Issyk-Kul,Male,KG02
2007,,12.055783,KGZ,Naryn,,KG04
2008,,7.000704,KGZ,Naryn,,KG04
2009,,11.614177,KGZ,Naryn,,KG04
2010,,7.669976,KGZ,Naryn,,KG04
2011,,11.003939,KGZ,Naryn,,KG04
2012,,6.753639,KGZ,Naryn,,KG04
2013,,6.7,KGZ,Naryn,,KG04
2014,,4.4,KGZ,Naryn,,KG04
2015,,2.2,KGZ,Naryn,,KG04
2016,,4.3,KGZ,Naryn,,KG04
2017,,2.8,KGZ,Naryn,,KG04
2018,,3.152773,KGZ,Naryn,,KG04
2019,,1.734094,KGZ,Naryn,,KG04
2020,,1.375133,KGZ,Naryn,,KG04
2021,,1.023102,KGZ,Naryn,,KG04
2007,,10.98996,KGZ,Naryn,Female,KG04
2008,,7.071469,KGZ,Naryn,Female,KG04
2009,,3.916684,KGZ,Naryn,Female,KG04
2010,,4.66128,KGZ,Naryn,Female,KG04
2011,,9.231337,KGZ,Naryn,Female,KG04
2012,,5.330531,KGZ,Naryn,Female,KG04
2013,,4.5,KGZ,Naryn,Female,KG04
2014,,2.2,KGZ,Naryn,Female,KG04
2015,,1.5,KGZ,Naryn,Female,KG04
2016,,1.5,KGZ,Naryn,Female,KG04
2017,,3.6,KGZ,Naryn,Female,KG04
2018,,2.853067,KGZ,Naryn,Female,KG04
2019,,1.412819,KGZ,Naryn,Female,KG04
2020,,0.675169,KGZ,Naryn,Female,KG04
2021,,0.0,KGZ,Naryn,Female,KG04
2007,,13.10222,KGZ,Naryn,Male,KG04
2008,,6.931341,KGZ,Naryn,Male,KG04
2009,,19.13568,KGZ,Naryn,Male,KG04
2010,,10.603089,KGZ,Naryn,Male,KG04
2011,,12.729315,KGZ,Naryn,Male,KG04
2012,,8.135854,KGZ,Naryn,Male,KG04
2013,,8.8,KGZ,Naryn,Male,KG04
2014,,6.5,KGZ,Naryn,Male,KG04
2015,,2.9,KGZ,Naryn,Male,KG04
2016,,7.1,KGZ,Naryn,Male,KG04
2017,,2.1,KGZ,Naryn,Male,KG04
2018,,3.442033,KGZ,Naryn,Male,KG04
2019,,2.043959,KGZ,Naryn,Male,KG04
2020,,2.101282,KGZ,Naryn,Male,KG04
2021,,2.009121,KGZ,Naryn,Male,KG04
2007,,3.797045,KGZ,Osh,,KG06
2008,,4.117327,KGZ,Osh,,KG06
2009,,7.48076,KGZ,Osh,,KG06
2010,,8.360245,KGZ,Osh,,KG06
2011,,6.407336,KGZ,Osh,,KG06
2012,,4.222387,KGZ,Osh,,KG06
2013,,5.1,KGZ,Osh,,KG06
2014,,6.3,KGZ,Osh,,KG06
2015,,3.5,KGZ,Osh,,KG06
2016,,4.6,KGZ,Osh,,KG06
2017,,5.9,KGZ,Osh,,KG06
2018,,4.442955,KGZ,Osh,,KG06
2019,,3.763954,KGZ,Osh,,KG06
2020,,1.594374,KGZ,Osh,,KG06
2021,,2.209299,KGZ,Osh,,KG06
2007,,3.920595,KGZ,Osh,Female,KG06
2008,,3.504507,KGZ,Osh,Female,KG06
2009,,5.269824,KGZ,Osh,Female,KG06
2010,,6.451682,KGZ,Osh,Female,KG06
2011,,5.833243,KGZ,Osh,Female,KG06
2012,,3.298262,KGZ,Osh,Female,KG06
2013,,4.6,KGZ,Osh,Female,KG06
2014,,5.0,KGZ,Osh,Female,KG06
2015,,2.6,KGZ,Osh,Female,KG06
2016,,2.4,KGZ,Osh,Female,KG06
2017,,5.3,KGZ,Osh,Female,KG06
2018,,3.043862,KGZ,Osh,Female,KG06
2019,,2.238799,KGZ,Osh,Female,KG06
2020,,1.576537,KGZ,Osh,Female,KG06
2021,,0.864963,KGZ,Osh,Female,KG06
2007,,3.67543,KGZ,Osh,Male,KG06
2008,,4.720552,KGZ,Osh,Male,KG06
2009,,9.65648,KGZ,Osh,Male,KG06
2010,,10.240565,KGZ,Osh,Male,KG06
2011,,6.973549,KGZ,Osh,Male,KG06
2012,,5.133295,KGZ,Osh,Male,KG06
2013,,5.5,KGZ,Osh,Male,KG06
2014,,7.7,KGZ,Osh,Male,KG06
2015,,4.5,KGZ,Osh,Male,KG06
2016,,6.8,KGZ,Osh,Male,KG06
2017,,6.5,KGZ,Osh,Male,KG06
2018,,5.813217,KGZ,Osh,Male,KG06
2019,,5.255812,KGZ,Osh,Male,KG06
2020,,1.612619,KGZ,Osh,Male,KG06
2021,,3.523663,KGZ,Osh,Male,KG06
2007,,7.635028,KGZ,Talas,,KG07
2008,,5.776699,KGZ,Talas,,KG07
2009,,4.832,KGZ,Talas,,KG07
2010,,11.284379,KGZ,Talas,,KG07
2011,,8.134502,KGZ,Talas,,KG07
2012,,8.424032,KGZ,Talas,,KG07
2013,,7.9,KGZ,Talas,,KG07
2014,,6.5,KGZ,Talas,,KG07
2015,,5.2,KGZ,Talas,,KG07
2016,,6.3,KGZ,Talas,,KG07
2017,,3.9,KGZ,Talas,,KG07
2018,,2.679877,KGZ,Talas,,KG07
2019,,1.883977,KGZ,Talas,,KG07
2020,,0.371503,KGZ,Talas,,KG07
2021,,1.467825,KGZ,Talas,,KG07
2007,,10.776346,KGZ,Talas,Female,KG07
2008,,7.11383,KGZ,Talas,Female,KG07
2009,,3.520042,KGZ,Talas,Female,KG07
2010,,13.05733,KGZ,Talas,Female,KG07
2011,,6.020884,KGZ,Talas,Female,KG07
2012,,6.779718,KGZ,Talas,Female,KG07
2013,,5.0,KGZ,Talas,Female,KG07
2014,,5.8,KGZ,Talas,Female,KG07
2015,,2.4,KGZ,Talas,Female,KG07
2016,,5.6,KGZ,Talas,Female,KG07
2017,,1.6,KGZ,Talas,Female,KG07
2018,,3.096263,KGZ,Talas,Female,KG07
2019,,1.524239,KGZ,Talas,Female,KG07
2020,,0.0,KGZ,Talas,Female,KG07
2021,,0.741559,KGZ,Talas,Female,KG07
2007,,4.492242,KGZ,Talas,Male,KG07
2008,,4.441089,KGZ,Talas,Male,KG07
2009,,6.139597,KGZ,Talas,Male,KG07
2010,,9.521419,KGZ,Talas,Male,KG07
2011,,10.22922,KGZ,Talas,Male,KG07
2012,,10.048821,KGZ,Talas,Male,KG07
2013,,10.7,KGZ,Talas,Male,KG07
2014,,7.3,KGZ,Talas,Male,KG07
2015,,8.0,KGZ,Talas,Male,KG07
2016,,7.0,KGZ,Talas,Male,KG07
2017,,6.2,KGZ,Talas,Male,KG07
2018,,2.272417,KGZ,Talas,Male,KG07
2019,,2.235753,KGZ,Talas,Male,KG07
2020,,0.751258,KGZ,Talas,Male,KG07
2021,,2.179266,KGZ,Talas,Male,KG07
2007,,12.255614,KGZ,Chui,,KG08
2008,,13.153626,KGZ,Chui,,KG08
2009,,11.182041,KGZ,Chui,,KG08
2010,,6.530648,KGZ,Chui,,KG08
2011,,10.259855,KGZ,Chui,,KG08
2012,,8.790298,KGZ,Chui,,KG08
2013,,6.6,KGZ,Chui,,KG08
2014,,6.5,KGZ,Chui,,KG08
2015,,5.8,KGZ,Chui,,KG08
2016,,5.4,KGZ,Chui,,KG08
2017,,4.8,KGZ,Chui,,KG08
2018,,6.334346,KGZ,Chui,,KG08
2019,,5.049926,KGZ,Chui,,KG08
2020,,2.894254,KGZ,Chui,,KG08
2021,,1.530289,KGZ,Chui,,KG08
2007,,9.181073,KGZ,Chui,Female,KG08
2008,,8.612184,KGZ,Chui,Female,KG08
2009,,7.080216,KGZ,Chui,Female,KG08
2010,,6.056436,KGZ,Chui,Female,KG08
2011,,8.891004,KGZ,Chui,Female,KG08
2012,,7.112005,KGZ,Chui,Female,KG08
2013,,6.3,KGZ,Chui,Female,KG08
2014,,3.9,KGZ,Chui,Female,KG08
2015,,4.7,KGZ,Chui,Female,KG08
2016,,4.2,KGZ,Chui,Female,KG08
2017,,2.6,KGZ,Chui,Female,KG08
2018,,4.864719,KGZ,Chui,Female,KG08
2019,,3.731746,KGZ,Chui,Female,KG08
2020,,2.728983,KGZ,Chui,Female,KG08
2021,,0.803516,KGZ,Chui,Female,KG08
2007,,15.445168,KGZ,Chui,Male,KG08
2008,,17.863614,KGZ,Chui,Male,KG08
2009,,15.432489,KGZ,Chui,Male,KG08
2010,,7.021521,KGZ,Chui,Male,KG08
2011,,11.674872,KGZ,Chui,Male,KG08
2012,,10.522735,KGZ,Chui,Male,KG08
2013,,7.0,KGZ,Chui,Male,KG08
2014,,9.2,KGZ,Chui,Male,KG08
2015,,6.9,KGZ,Chui,Male,KG08
2016,,6.6,KGZ,Chui,Male,KG08
2017,,7.1,KGZ,Chui,Male,KG08
2018,,7.849328,KGZ,Chui,Male,KG08
2019,,6.408052,KGZ,Chui,Male,KG08
2020,,3.054579,KGZ,Chui,Male,KG08
2021,,2.280289,KGZ,Chui,Male,KG08
2007,,19.444499,KGZ,Bishkek (city),,KG11
2008,,16.559633,KGZ,Bishkek (city),,KG11
2009,,18.582512,KGZ,Bishkek (city),,KG11
2010,,17.465079,KGZ,Bishkek (city),,KG11
2011,,16.607541,KGZ,Bishkek (city),,KG11
2012,,17.864088,KGZ,Bishkek (city),,KG11
2013,,10.1,KGZ,Bishkek (city),,KG11
2014,,9.5,KGZ,Bishkek (city),,KG11
2015,,7.9,KGZ,Bishkek (city),,KG11
2016,,10.1,KGZ,Bishkek (city),,KG11
2017,,10.1,KGZ,Bishkek (city),,KG11
2018,,8.968212,KGZ,Bishkek (city),,KG11
2019,,5.189414,KGZ,Bishkek (city),,KG11
2020,,3.947387,KGZ,Bishkek (city),,KG11
2021,,2.301473,KGZ,Bishkek (city),,KG11
2007,,15.310366,KGZ,Bishkek (city),Female,KG11
2008,,11.046411,KGZ,Bishkek (city),Female,KG11
2009,,10.882674,KGZ,Bishkek (city),Female,KG11
2010,,9.84267,KGZ,Bishkek (city),Female,KG11
2011,,10.76723,KGZ,Bishkek (city),Female,KG11
2012,,7.817766,KGZ,Bishkek (city),Female,KG11
2013,,7.4,KGZ,Bishkek (city),Female,KG11
2014,,7.1,KGZ,Bishkek (city),Female,KG11
2015,,4.6,KGZ,Bishkek (city),Female,KG11
2016,,7.0,KGZ,Bishkek (city),Female,KG11
2017,,7.6,KGZ,Bishkek (city),Female,KG11
2018,,5.929539,KGZ,Bishkek (city),Female,KG11
2019,,2.894948,KGZ,Bishkek (city),Female,KG11
2020,,3.60312,KGZ,Bishkek (city),Female,KG11
2021,,1.735831,KGZ,Bishkek (city),Female,KG11
2007,,24.204157,KGZ,Bishkek (city),Male,KG11
2008,,22.932791,KGZ,Bishkek (city),Male,KG11
2009,,27.489325,KGZ,Bishkek (city),Male,KG11
2010,,26.266739,KGZ,Bishkek (city),Male,KG11
2011,,23.342207,KGZ,Bishkek (city),Male,KG11
2012,,29.427859,KGZ,Bishkek (city),Male,KG11
2013,,13.1,KGZ,Bishkek (city),Male,KG11
2014,,12.3,KGZ,Bishkek (city),Male,KG11
2015,,11.8,KGZ,Bishkek (city),Male,KG11
2016,,13.7,KGZ,Bishkek (city),Male,KG11
2017,,12.9,KGZ,Bishkek (city),Male,KG11
2018,,12.420425,KGZ,Bishkek (city),Male,KG11
2019,,7.788593,KGZ,Bishkek (city),Male,KG11
2020,,4.252092,KGZ,Bishkek (city),Male,KG11
2021,,2.940208,KGZ,Bishkek (city),Male,KG11
2007,,40.964579,KGZ,Osh (city),,KG21
2008,,24.854562,KGZ,Osh (city),,KG21
2009,,23.592385,KGZ,Osh (city),,KG21
2010,,13.593447,KGZ,Osh (city),,KG21
2011,,19.152071,KGZ,Osh (city),,KG21
2012,,29.440248,KGZ,Osh (city),,KG21
2013,,21.3,KGZ,Osh (city),,KG21
2014,,24.7,KGZ,Osh (city),,KG21
2015,,22.3,KGZ,Osh (city),,KG21
2016,,14.0,KGZ,Osh (city),,KG21
2017,,4.9,KGZ,Osh (city),,KG21
2018,,7.479508,KGZ,Osh (city),,KG21
2019,,4.575268,KGZ,Osh (city),,KG21
2020,,0.0,KGZ,Osh (city),,KG21
2021,,1.219899,KGZ,Osh (city),,KG21
2007,,35.243744,KGZ,Osh (city),Female,KG21
2008,,19.402116,KGZ,Osh (city),Female,KG21
2009,,14.139324,KGZ,Osh (city),Female,KG21
2010,,11.947431,KGZ,Osh (city),Female,KG21
2011,,11.255262,KGZ,Osh (city),Female,KG21
2012,,20.837209,KGZ,Osh (city),Female,KG21
2013,,12.4,KGZ,Osh (city),Female,KG21
2014,,20.9,KGZ,Osh (city),Female,KG21
2015,,14.9,KGZ,Osh (city),Female,KG21
2016,,12.5,KGZ,Osh (city),Female,KG21
2017,,4.1,KGZ,Osh (city),Female,KG21
2018,,3.953533,KGZ,Osh (city),Female,KG21
2019,,2.537202,KGZ,Osh (city),Female,KG21
2020,,0.0,KGZ,Osh (city),Female,KG21
2021,,1.187832,KGZ,Osh (city),Female,KG21
2007,,47.169044,KGZ,Osh (city),Male,KG21
2008,,30.771224,KGZ,Osh (city),Male,KG21
2009,,33.821599,KGZ,Osh (city),Male,KG21
2010,,15.377518,KGZ,Osh (city),Male,KG21
2011,,27.737893,KGZ,Osh (city),Male,KG21
2012,,38.780044,KGZ,Osh (city),Male,KG21
2013,,30.9,KGZ,Osh (city),Male,KG21
2014,,28.7,KGZ,Osh (city),Male,KG21
2015,,30.4,KGZ,Osh (city),Male,KG21
2016,,15.6,KGZ,Osh (city),Male,KG21
2017,,5.8,KGZ,Osh (city),Male,KG21
2018,,11.238007,KGZ,Osh (city),Male,KG21
2019,,6.741316,KGZ,Osh (city),Male,KG21
2020,,0.0,KGZ,Osh (city),Male,KG21
2021,,1.253746,KGZ,Osh (city),Male,KG21
