Year,UNIT_MEASURE,Regions,Value,M49_country_code,Unit multiplier,SERIES,COMMENT_TS,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,tenge per US dollars in 2010 prices,Nur-Sultan city,786.5,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Almaty city,1068.4,KAZ,,,,,,,,
2015.0,"percent, base year 2010",,10.4,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Akmola,14.8,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Aktobe,7.8,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Almaty,14.9,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Atyrau,5.1,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Batys Kazakhstan,3.9,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Zhambyl,12.5,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Karagandy,28.2,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Kostanay,8.7,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Kyzylorda,3.1,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Mangistau,3.5,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Ontustik Kazakhstan,20.2,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Pavlodar,23.3,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Soltustik Kazakhstan,7.8,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Shygys Kazakhstan,21.6,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Nur-Sultan city,3.6,KAZ,,,,,,,,
2015.0,"percent, base year 2010",Almaty city,3.9,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,,1105.0,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Akmola,968.9,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Aktobe,902.8,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Almaty,736.9,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Atyrau,1828.8,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,507.4,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Zhambyl,441.2,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Karagandy,3166.2,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Kostanay,670.1,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Kyzylorda,252.3,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Mangistau,631.9,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,687.8,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Pavlodar,2612.2,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,541.2,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1739.4,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Nur-Sultan city,798.1,KAZ,,,,,,,,
2015.0,tenge per US dollars in 2010 prices,Almaty city,951.9,KAZ,,,,,,,,
2016.0,"percent, base year 2010",,10.5,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Akmola,14.8,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Aktobe,8.9,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Almaty,14.1,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Atyrau,5.1,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Batys Kazakhstan,3.9,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Zhambyl,12.6,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Karagandy,29.6,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Kostanay,9.4,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Kyzylorda,3.8,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Mangistau,3.7,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Ontustik Kazakhstan,21.0,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Pavlodar,23.5,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Soltustik Kazakhstan,7.6,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Shygys Kazakhstan,21.6,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Nur-Sultan city,3.5,KAZ,,,,,,,,
2016.0,"percent, base year 2010",Almaty city,3.8,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,,1109.1,KAZ,,,,,,,,
