Year,Age,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2011.0,,,Atyrau,49.18951640024213,KAZ,,,,,,,
2011.0,,,Batys Kazakhstan,29.708314441781635,KAZ,,,,,,,
2011.0,,,Zhambyl,41.57690415003554,KAZ,,,,,,,
2011.0,,,Karagandy,31.144693053142724,KAZ,,,,,,,
2011.0,,,Kostanay,29.525140135000925,KAZ,,,,,,,
2011.0,,,Kyzylorda,26.377580581221604,KAZ,,,,,,,
2011.0,,,Mangistau,49.60176991150443,KAZ,,,,,,,
2011.0,,,Ontustik Kazakhstan,32.65544544156067,KAZ,,,,,,,
2011.0,,,Pavlodar,30.659275953787738,KAZ,,,,,,,
2011.0,,,Soltustik Kazakhstan,31.55859223926776,KAZ,,,,,,,
2011.0,,,Shygys Kazakhstan,25.40156892043332,KAZ,,,,,,,
2011.0,,,Nur-Sultan city,23.458121973053,KAZ,,,,,,,
2011.0,,,Almaty city,16.570703178129392,KAZ,,,,,,,
2011.0,,urban,,29.92838451785309,KAZ,,,,,,,
2011.0,,urban,Akmola,31.758393907926617,KAZ,,,,,,,
2011.0,,urban,Aktobe,26.221630233226254,KAZ,,,,,,,
2011.0,,urban,Almaty,38.32709879192984,KAZ,,,,,,,
2011.0,,urban,Atyrau,55.72597137014315,KAZ,,,,,,,
2011.0,,urban,Batys Kazakhstan,34.83370055608015,KAZ,,,,,,,
2011.0,,urban,Zhambyl,31.532419268560485,KAZ,,,,,,,
2011.0,,urban,Karagandy,32.23099352819856,KAZ,,,,,,,
2011.0,,urban,Kostanay,28.197608842770133,KAZ,,,,,,,
2011.0,,urban,Kyzylorda,33.40228300007661,KAZ,,,,,,,
2011.0,,urban,Mangistau,44.57772009130377,KAZ,,,,,,,
2011.0,,urban,Ontustik Kazakhstan,33.541230502789624,KAZ,,,,,,,
2011.0,,urban,Pavlodar,29.41741972697558,KAZ,,,,,,,
2011.0,,urban,Soltustik Kazakhstan,29.085763697822497,KAZ,,,,,,,
2011.0,,urban,Shygys Kazakhstan,25.78957956145645,KAZ,,,,,,,
2011.0,,urban,Nur-Sultan city,23.458121973053,KAZ,,,,,,,
2011.0,,urban,Almaty city,16.570703178129392,KAZ,,,,,,,
2011.0,,rural,,33.39098229810347,KAZ,,,,,,,
2011.0,,rural,Akmola,32.69807487665667,KAZ,,,,,,,
2011.0,,rural,Aktobe,27.150942044559063,KAZ,,,,,,,
2011.0,,rural,Almaty,34.364939152893484,KAZ,,,,,,,
2011.0,,rural,Atyrau,44.08417521862397,KAZ,,,,,,,
2011.0,,rural,Batys Kazakhstan,26.123647037240872,KAZ,,,,,,,
2011.0,,rural,Zhambyl,47.95622787254587,KAZ,,,,,,,
2011.0,,rural,Karagandy,28.119925541605607,KAZ,,,,,,,
2011.0,,rural,Kostanay,30.601359383096103,KAZ,,,,,,,
2011.0,,rural,Kyzylorda,21.732522796352587,KAZ,,,,,,,
2011.0,,rural,Mangistau,54.51284070525441,KAZ,,,,,,,
2011.0,,rural,Ontustik Kazakhstan,32.1462775341499,KAZ,,,,,,,
2011.0,,rural,Pavlodar,32.80687170961485,KAZ,,,,,,,
2011.0,,rural,Soltustik Kazakhstan,32.76550030693677,KAZ,,,,,,,
2011.0,,rural,Shygys Kazakhstan,24.963055587131976,KAZ,,,,,,,
2012.0,age: 10-14 years old,,,0.0301062396067062,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Akmola,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Aktobe,0.040395063723213,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Almaty,0.029852751304192,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Atyrau,0.1459427904261529,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Batys Kazakhstan,0.0527648796960742,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Zhambyl,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Karagandy,0.0247582971243237,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Kostanay,0.0398747931495105,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Kyzylorda,0.0338615738859542,KAZ,,,,,,,
