Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2014,Expenditure on Plant protection,1.6,KGZ
2015,Expenditure on Plant protection,1.5,KGZ
2016,Expenditure on Plant protection,1.5,KGZ
2010,Expenditure on Anti-epizootic measures,29.6,KGZ
2011,Expenditure on Anti-epizootic measures,36.4,KGZ
2012,Expenditure on Anti-epizootic measures,26.6,KGZ
2013,Expenditure on Anti-epizootic measures,63.2,KGZ
2014,Expenditure on Anti-epizootic measures,61.2,KGZ
2015,Expenditure on Anti-epizootic measures,46.6,KGZ
2016,Expenditure on Anti-epizootic measures,109.3,KGZ
2017,Expenditure on Anti-epizootic measures,105.6,KGZ
2018,Expenditure on Anti-epizootic measures,153.6,KGZ
2019,Expenditure on Anti-epizootic measures,64.7,KGZ
2020,Expenditure on Anti-epizootic measures,71.0,KGZ
2021,Expenditure on Anti-epizootic measures,82.1,KGZ
2010,Expenditure on Veterinary diagnostics,190.9,KGZ
2011,Expenditure on Veterinary diagnostics,190.1,KGZ
2012,Expenditure on Veterinary diagnostics,158.7,KGZ
2013,Expenditure on Veterinary diagnostics,90.9,KGZ
2014,Expenditure on Veterinary diagnostics,109.3,KGZ
2015,Expenditure on Veterinary diagnostics,107.2,KGZ
2016,Expenditure on Veterinary diagnostics,150.8,KGZ
2017,Expenditure on Veterinary diagnostics,134.6,KGZ
2018,Expenditure on Veterinary diagnostics,245.1,KGZ
2019,Expenditure on Veterinary diagnostics,169.4,KGZ
2020,Expenditure on Veterinary diagnostics,136.3,KGZ
2021,Expenditure on Veterinary diagnostics,145.3,KGZ
2010,"Expenditure on Plant chemicals, protection and
quarantine",72.3,KGZ
2011,"Expenditure on Plant chemicals, protection and
quarantine",50.0,KGZ
2012,"Expenditure on Plant chemicals, protection and
quarantine",29.3,KGZ
2013,"Expenditure on Plant chemicals, protection and
quarantine",43.9,KGZ
2014,"Expenditure on Plant chemicals, protection and
quarantine",42.5,KGZ
2015,"Expenditure on Plant chemicals, protection and
quarantine",60.1,KGZ
2016,"Expenditure on Plant chemicals, protection and
quarantine",88.8,KGZ
2017,"Expenditure on Plant chemicals, protection and
quarantine",85.9,KGZ
2018,"Expenditure on Plant chemicals, protection and
quarantine",132.2,KGZ
2019,"Expenditure on Plant chemicals, protection and
quarantine",131.5,KGZ
2020,"Expenditure on Plant chemicals, protection and
quarantine",103.3,KGZ
2021,"Expenditure on Plant chemicals, protection and
quarantine",98.8,KGZ
2010,"Expenditure on Other services for the protection
of biodiversity and landscape",150.6,KGZ
2011,"Expenditure on Other services for the protection
of biodiversity and landscape",175.6,KGZ
2012,"Expenditure on Other services for the protection
of biodiversity and landscape",189.3,KGZ
2013,"Expenditure on Other services for the protection
of biodiversity and landscape",235.6,KGZ
2014,"Expenditure on Other services for the protection
of biodiversity and landscape",277.1,KGZ
2015,"Expenditure on Other services for the protection
of biodiversity and landscape",392.6,KGZ
2016,"Expenditure on Other services for the protection
of biodiversity and landscape",358.6,KGZ
2017,"Expenditure on Other services for the protection
of biodiversity and landscape",231.4,KGZ
2018,"Expenditure on Other services for the protection
of biodiversity and landscape",212.8,KGZ
2019,"Expenditure on Other services for the protection
of biodiversity and landscape",197.7,KGZ
2020,"Expenditure on Other services for the protection
of biodiversity and landscape",103.2,KGZ
2021,"Expenditure on Other services for the protection
of biodiversity and landscape",98.7,KGZ
2010,"Expenditure on Research and development work
related to environmental protection",2.9,KGZ
2011,"Expenditure on Research and development work
related to environmental protection",4.3,KGZ
2012,"Expenditure on Research and development work
related to environmental protection",4.6,KGZ
2013,"Expenditure on Research and development work
related to environmental protection",6.2,KGZ
2014,"Expenditure on Research and development work
related to environmental protection",6.7,KGZ
2015,"Expenditure on Research and development work
related to environmental protection",7.1,KGZ
2016,"Expenditure on Research and development work
related to environmental protection",6.3,KGZ
2017,"Expenditure on Research and development work
related to environmental protection",6.3,KGZ
2019,"Expenditure on Research and development work
related to environmental protection",1.8,KGZ
2020,"Expenditure on Research and development work
related to environmental protection",1.8,KGZ
2021,"Expenditure on Research and development work
related to environmental protection",1.8,KGZ
2010,Expenditure on Environmental issues not classified elsewhere,11.0,KGZ
2011,Expenditure on Environmental issues not classified elsewhere,11.2,KGZ
2012,Expenditure on Environmental issues not classified elsewhere,9.8,KGZ
2013,Expenditure on Environmental issues not classified elsewhere,11.2,KGZ
2014,Expenditure on Environmental issues not classified elsewhere,9.6,KGZ
2017,Expenditure on Environmental issues not classified elsewhere,163.5,KGZ
2010,"Expenditure on Other services on environmental
protection",6.3,KGZ
2011,"Expenditure on Other services on environmental
protection",2.2,KGZ
2016,"Expenditure on Other services on environmental
protection",2.6,KGZ
2018,"Expenditure on Other services on environmental
protection",7.7,KGZ
2019,"Expenditure on Other services on environmental
protection",12.2,KGZ
2020,"Expenditure on Other services on environmental
protection",5.4,KGZ
2021,"Expenditure on Other services on environmental
protection",10.9,KGZ
