Year,UNIT_MEASURE,Regions,Value,M49_country_code
2016,Percent,Karagandy,0.1,KAZ
2016,Percent,Kostanay,0.0,KAZ
2016,Percent,Kyzylorda,0.8,KAZ
2016,Percent,Mangistau,0.2,KAZ
2016,Percent,Ontustik Kazakhstan,0.4,KAZ
2016,Percent,Pavlodar,0.1,KAZ
2016,Percent,Soltustik Kazakhstan,0.4,KAZ
2016,Percent,Shygys Kazakhstan,0.3,KAZ
2016,Percent,Nur-Sultan city,0.0,KAZ
2016,Percent,Almaty city,0.0,KAZ
2017,Percent,,0.2,KAZ
2017,Percent,Akmola,0.1,KAZ
2017,Percent,Aktobe,0.1,KAZ
2017,Percent,Almaty,0.4,KAZ
2017,Percent,Atyrau,0.3,KAZ
2017,Percent,Batys Kazakhstan,0.0,KAZ
2017,Percent,Zhambyl,0.4,KAZ
2017,Percent,Karagandy,0.1,KAZ
2017,Percent,Kostanay,0.0,KAZ
2017,Percent,Kyzylorda,1.0,KAZ
2017,Percent,Mangistau,0.2,KAZ
2017,Percent,Pavlodar,0.2,KAZ
2017,Percent,Soltustik Kazakhstan,0.2,KAZ
2017,Percent,Turkistan,1.4,KAZ
2017,Percent,Shygys Kazakhstan,0.4,KAZ
2017,Percent,Nur-Sultan city,0.0,KAZ
2017,Percent,Almaty city,0.0,KAZ
2017,Percent,Shymkent city,0.0,KAZ
2018,Percent,,0.2,KAZ
2018,Percent,Akmola,0.1,KAZ
2018,Percent,Aktobe,0.1,KAZ
2018,Percent,Almaty,0.4,KAZ
2018,Percent,Atyrau,0.3,KAZ
2018,Percent,Batys Kazakhstan,0.0,KAZ
2018,Percent,Zhambyl,0.4,KAZ
2018,Percent,Karagandy,0.1,KAZ
2018,Percent,Kostanay,0.0,KAZ
2018,Percent,Kyzylorda,1.0,KAZ
2018,Percent,Mangistau,0.2,KAZ
2018,Percent,Pavlodar,0.2,KAZ
2018,Percent,Soltustik Kazakhstan,0.2,KAZ
2018,Percent,Turkistan,1.4,KAZ
2018,Percent,Shygys Kazakhstan,0.4,KAZ
2018,Percent,Nur-Sultan city,0.0,KAZ
2018,Percent,Almaty city,0.0,KAZ
2018,Percent,Shymkent city,0.0,KAZ
2019,Percent,,0.2,KAZ
2019,Percent,Akmola,0.1,KAZ
2019,Percent,Aktobe,0.1,KAZ
2019,Percent,Almaty,0.5,KAZ
2019,Percent,Atyrau,0.2,KAZ
2019,Percent,Batys Kazakhstan,0.0,KAZ
2019,Percent,Zhambyl,0.2,KAZ
2019,Percent,Karagandy,0.1,KAZ
2019,Percent,Kostanay,0.0,KAZ
2019,Percent,Kyzylorda,1.0,KAZ
2019,Percent,Mangistau,0.2,KAZ
2019,Percent,Pavlodar,0.1,KAZ
2019,Percent,Soltustik Kazakhstan,0.2,KAZ
2019,Percent,Turkistan,1.2,KAZ
2019,Percent,Shygys Kazakhstan,0.4,KAZ
2019,Percent,Nur-Sultan city,0.0,KAZ
2019,Percent,Almaty city,0.0,KAZ
2019,Percent,Shymkent city,0.0,KAZ
2020,Percent,,0.2,KAZ
2020,Percent,Akmola,0.1,KAZ
2020,Percent,Aktobe,0.1,KAZ
2020,Percent,Almaty,0.5,KAZ
2020,Percent,Atyrau,0.2,KAZ
2020,Percent,Batys Kazakhstan,0.1,KAZ
2020,Percent,Zhambyl,0.1,KAZ
2020,Percent,Karagandy,0.1,KAZ
2020,Percent,Kostanay,0.0,KAZ
2020,Percent,Kyzylorda,1.3,KAZ
2020,Percent,Mangistau,0.3,KAZ
2020,Percent,Pavlodar,0.1,KAZ
2020,Percent,Soltustik Kazakhstan,0.3,KAZ
2020,Percent,Turkistan,2.1,KAZ
2020,Percent,Shygys Kazakhstan,0.4,KAZ
2020,Percent,Nur-Sultan city,0.0,KAZ
2020,Percent,Almaty city,0.0,KAZ
2020,Percent,Shymkent city,0.0,KAZ
