unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
10_107_,Dzhizak Region,True,2015,1.5,UZB
10_107_,Dzhizak Region,True,2016,0.3,UZB
10_107_,Dzhizak Region,True,2017,1.6,UZB
10_107_,Dzhizak Region,True,2018,2.6,UZB
10_107_,Dzhizak Region,True,2019,1.5,UZB
10_107_,Dzhizak Region,True,2020,0.6,UZB
10_107_,Dzhizak Region,True,2021,3.7,UZB
10_108_,Kashkadarya Region,True,2000,4.0,UZB
10_108_,Kashkadarya Region,True,2001,2.6,UZB
10_108_,Kashkadarya Region,True,2002,6.6,UZB
10_108_,Kashkadarya Region,True,2003,7.9,UZB
10_108_,Kashkadarya Region,True,2004,7.5,UZB
10_108_,Kashkadarya Region,True,2005,4.4,UZB
10_108_,Kashkadarya Region,True,2006,2.3,UZB
10_108_,Kashkadarya Region,True,2007,2.0,UZB
10_108_,Kashkadarya Region,True,2008,1.5,UZB
10_108_,Kashkadarya Region,True,2009,3.7,UZB
10_108_,Kashkadarya Region,True,2010,2.7,UZB
10_108_,Kashkadarya Region,True,2011,3.2,UZB
10_108_,Kashkadarya Region,True,2012,6.2,UZB
10_108_,Kashkadarya Region,True,2013,8.4,UZB
10_108_,Kashkadarya Region,True,2014,10.4,UZB
10_108_,Kashkadarya Region,True,2015,13.6,UZB
10_108_,Kashkadarya Region,True,2016,21.8,UZB
10_108_,Kashkadarya Region,True,2017,37.4,UZB
10_108_,Kashkadarya Region,True,2018,46.7,UZB
10_108_,Kashkadarya Region,True,2019,28.5,UZB
10_108_,Kashkadarya Region,True,2020,22.4,UZB
10_108_,Kashkadarya Region,True,2021,5.0,UZB
10_109_,Navoi Region,True,2000,0.9,UZB
10_109_,Navoi Region,True,2001,0.4,UZB
10_109_,Navoi Region,True,2002,0.3,UZB
10_109_,Navoi Region,True,2003,0.3,UZB
10_109_,Navoi Region,True,2004,0.6,UZB
10_109_,Navoi Region,True,2005,0.6,UZB
10_109_,Navoi Region,True,2006,1.0,UZB
10_109_,Navoi Region,True,2007,0.9,UZB
10_109_,Navoi Region,True,2008,0.5,UZB
10_109_,Navoi Region,True,2009,1.9,UZB
10_109_,Navoi Region,True,2010,24.8,UZB
10_109_,Navoi Region,True,2011,24.1,UZB
10_109_,Navoi Region,True,2012,14.5,UZB
10_109_,Navoi Region,True,2013,4.8,UZB
10_109_,Navoi Region,True,2014,1.7,UZB
10_109_,Navoi Region,True,2015,3.5,UZB
10_109_,Navoi Region,True,2016,1.5,UZB
10_109_,Navoi Region,True,2017,0.7,UZB
10_109_,Navoi Region,True,2018,8.9,UZB
10_109_,Navoi Region,True,2019,3.2,UZB
10_109_,Navoi Region,True,2020,0.9,UZB
10_109_,Navoi Region,True,2021,8.5,UZB
10_110_,Namangan Region,True,2000,1.2,UZB
10_110_,Namangan Region,True,2001,1.3,UZB
10_110_,Namangan Region,True,2002,0.2,UZB
10_110_,Namangan Region,True,2003,0.6,UZB
10_110_,Namangan Region,True,2004,1.7,UZB
10_110_,Namangan Region,True,2005,2.0,UZB
10_110_,Namangan Region,True,2006,1.8,UZB
10_110_,Namangan Region,True,2007,12.1,UZB
10_110_,Namangan Region,True,2008,6.6,UZB
10_110_,Namangan Region,True,2009,1.1,UZB
10_110_,Namangan Region,True,2010,6.8,UZB
10_110_,Namangan Region,True,2011,2.3,UZB
10_110_,Namangan Region,True,2012,4.0,UZB
10_110_,Namangan Region,True,2013,3.1,UZB
10_110_,Namangan Region,True,2014,2.6,UZB
10_110_,Namangan Region,True,2015,2.4,UZB
10_110_,Namangan Region,True,2016,3.6,UZB
10_110_,Namangan Region,True,2017,13.9,UZB
10_110_,Namangan Region,True,2018,39.7,UZB
10_110_,Namangan Region,True,2019,21.2,UZB
10_110_,Namangan Region,True,2020,5.0,UZB
10_110_,Namangan Region,True,2021,8.5,UZB
10_111_,Samarkand Region,True,2000,0.6,UZB
10_111_,Samarkand Region,True,2001,1.6,UZB
10_111_,Samarkand Region,True,2002,2.5,UZB
10_111_,Samarkand Region,True,2003,12.7,UZB
10_111_,Samarkand Region,True,2004,10.2,UZB
10_111_,Samarkand Region,True,2005,5.2,UZB
10_111_,Samarkand Region,True,2006,1.3,UZB
10_111_,Samarkand Region,True,2007,4.6,UZB
10_111_,Samarkand Region,True,2008,2.5,UZB
10_111_,Samarkand Region,True,2009,3.1,UZB
10_111_,Samarkand Region,True,2010,3.2,UZB
10_111_,Samarkand Region,True,2011,4.1,UZB
10_111_,Samarkand Region,True,2012,4.2,UZB
10_111_,Samarkand Region,True,2013,2.2,UZB
10_111_,Samarkand Region,True,2014,2.8,UZB
