Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2013.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2013.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0,KAZ,,,,,,,
2013.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,2200.0,KAZ,,,,,,,
2013.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2013.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,0.0,KAZ,,,,,,,
2013.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,,759078.1,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Akmola,34045.1,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,5000.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Almaty,6.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,50686.2,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,64357.8,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,1.7,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,473901.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,1200.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,30886.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,41893.1,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,56600.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,501.2,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,,927084.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Akmola,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Almaty,180100.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,17274.4,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,121.6,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Karagandy,12828.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Mangistau,59980.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Pavlodar,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,118800.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,14300.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,125613.0,KAZ,,,,,,,
2014.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,398067.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,,5053460.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Akmola,14285.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Almaty,723568.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,103683.7,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,103906.8,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,2.1,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,3765011.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,35182.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,10332.2,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,71709.1,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,0.1,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,220900.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,4855.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,25.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,,3656744.7,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Akmola,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Almaty,64068.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,114069.8,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,119.2,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Karagandy,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Mangistau,143826.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Pavlodar,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,129600.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,25100.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,3112242.7,KAZ,,,,,,,
2015.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,67719.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,,1266829.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Akmola,41496.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,13704.8,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Almaty,881939.0,KAZ,,,,,,,
