Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2013.0,Percent,Kostanay,0.0,KAZ,,,,,
2013.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2013.0,Percent,Mangistau,0.0,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,28.6,KAZ,,,,,
2013.0,Percent,Pavlodar,100.0,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,23.1,KAZ,,,,,
2014.0,Percent,,16.2,KAZ,,,,,
2014.0,Percent,Akmola,0.0,KAZ,,,,,
2014.0,Percent,Aktobe,0.0,KAZ,,,,,
2014.0,Percent,Almaty,36.8,KAZ,,,,,
2014.0,Percent,Atyrau,80.0,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,0.0,KAZ,,,,,
2014.0,Percent,Zhambyl,10.0,KAZ,,,,,
2014.0,Percent,Karagandy,0.0,KAZ,,,,,
2014.0,Percent,Kostanay,0.0,KAZ,,,,,
2014.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2014.0,Percent,Mangistau,0.0,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,28.6,KAZ,,,,,
2014.0,Percent,Pavlodar,100.0,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,28.6,KAZ,,,,,
2015.0,Percent,,9.3,KAZ,,,,,
2015.0,Percent,Akmola,0.0,KAZ,,,,,
2015.0,Percent,Aktobe,0.0,KAZ,,,,,
2015.0,Percent,Almaty,10.5,KAZ,,,,,
2015.0,Percent,Atyrau,100.0,KAZ,,,,,
2015.0,Percent,Batys Kazakhstan,0.0,KAZ,,,,,
2015.0,Percent,Zhambyl,0.0,KAZ,,,,,
2015.0,Percent,Karagandy,0.0,KAZ,,,,,
2015.0,Percent,Kostanay,0.0,KAZ,,,,,
2015.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2015.0,Percent,Mangistau,100.0,KAZ,,,,,
2015.0,Percent,Ontustik Kazakhstan,28.6,KAZ,,,,,
2015.0,Percent,Pavlodar,0.0,KAZ,,,,,
2015.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2015.0,Percent,Shygys Kazakhstan,7.7,KAZ,,,,,
2016.0,Percent,,7.4,KAZ,,,,,
2016.0,Percent,Akmola,0.0,KAZ,,,,,
2016.0,Percent,Aktobe,0.0,KAZ,,,,,
2016.0,Percent,Almaty,6.06,KAZ,,,,,
2016.0,Percent,Atyrau,100.0,KAZ,,,,,
2016.0,Percent,Batys Kazakhstan,11.1,KAZ,,,,,
2016.0,Percent,Zhambyl,0.0,KAZ,,,,,
2016.0,Percent,Karagandy,0.0,KAZ,,,,,
2016.0,Percent,Kostanay,0.0,KAZ,,,,,
2016.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2016.0,Percent,Mangistau,100.0,KAZ,,,,,
2016.0,Percent,Ontustik Kazakhstan,14.3,KAZ,,,,,
