Year,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2017.0,Pavlodar,2.1,KAZ,,,,,
2017.0,Soltustik Kazakhstan,5.5,KAZ,,,,,
2017.0,Turkistan,14.0,KAZ,,,,,
2017.0,Shygys Kazakhstan,7.1,KAZ,,,,,
2018.0,,4.7,KAZ,,,,,
2018.0,Akmola,2.6,KAZ,,,,,
2018.0,Aktobe,0.2,KAZ,,,,,
2018.0,Almaty,8.7,KAZ,,,,,
2018.0,Atyrau,0.2,KAZ,,,,,
2018.0,Batys Kazakhstan,0.6,KAZ,,,,,
2018.0,Zhambyl,16.1,KAZ,,,,,
2018.0,Karagandy,0.4,KAZ,,,,,
2018.0,Kostanay,1.2,KAZ,,,,,
2018.0,Kyzylorda,13.8,KAZ,,,,,
2018.0,Mangistau,0.8,KAZ,,,,,
2018.0,Pavlodar,2.1,KAZ,,,,,
2018.0,Soltustik Kazakhstan,5.5,KAZ,,,,,
2018.0,Turkistan,14.1,KAZ,,,,,
2018.0,Shygys Kazakhstan,7.1,KAZ,,,,,
2019.0,,4.8,KAZ,,,,,
2019.0,Akmola,2.6,KAZ,,,,,
2019.0,Aktobe,0.2,KAZ,,,,,
2019.0,Almaty,9.4,KAZ,,,,,
2019.0,Atyrau,0.2,KAZ,,,,,
2019.0,Batys Kazakhstan,0.6,KAZ,,,,,
2019.0,Zhambyl,15.9,KAZ,,,,,
2019.0,Karagandy,0.4,KAZ,,,,,
2019.0,Kostanay,1.2,KAZ,,,,,
2019.0,Kyzylorda,15.9,KAZ,,,,,
2019.0,Mangistau,0.8,KAZ,,,,,
2019.0,Pavlodar,2.1,KAZ,,,,,
2019.0,Soltustik Kazakhstan,5.5,KAZ,,,,,
2019.0,Turkistan,14.2,KAZ,,,,,
2019.0,Shygys Kazakhstan,7.2,KAZ,,,,,
2020.0,,4.9,KAZ,,,,,
2020.0,Akmola,2.7,KAZ,,,,,
2020.0,Aktobe,0.2,KAZ,,,,,
2020.0,Almaty,10.0,KAZ,,,,,
2020.0,Atyrau,0.1,KAZ,,,,,
2020.0,Batys Kazakhstan,0.6,KAZ,,,,,
2020.0,Zhambyl,16.5,KAZ,,,,,
2020.0,Karagandy,0.4,KAZ,,,,,
2020.0,Kostanay,1.3,KAZ,,,,,
2020.0,Kyzylorda,15.6,KAZ,,,,,
2020.0,Mangistau,0.8,KAZ,,,,,
2020.0,Pavlodar,2.2,KAZ,,,,,
2020.0,Soltustik Kazakhstan,5.7,KAZ,,,,,
2020.0,Turkistan,14.4,KAZ,,,,,
2020.0,Shygys Kazakhstan,7.4,KAZ,,,,,
,,,UZB,16_101_,Total,True,2000.0,7.0
,,,UZB,16_101_,Total,True,2001.0,7.0
,,,UZB,16_101_,Total,True,2002.0,7.1
,,,UZB,16_101_,Total,True,2003.0,7.2
,,,UZB,16_101_,Total,True,2004.0,7.3
,,,UZB,16_101_,Total,True,2005.0,7.4
,,,UZB,16_101_,Total,True,2006.0,7.5
,,,UZB,16_101_,Total,True,2007.0,7.6
,,,UZB,16_101_,Total,True,2008.0,7.6
,,,UZB,16_101_,Total,True,2009.0,7.6
,,,UZB,16_101_,Total,True,2010.0,7.9
,,,UZB,16_101_,Total,True,2011.0,8.0
,,,UZB,16_101_,Total,True,2012.0,8.1
,,,UZB,16_101_,Total,True,2013.0,8.2
,,,UZB,16_101_,Total,True,2014.0,8.3
,,,UZB,16_101_,Total,True,2015.0,8.3
,,,UZB,16_101_,Total,True,2016.0,8.4
,,,UZB,16_101_,Total,True,2017.0,8.5
,,,UZB,16_101_,Total,True,2018.0,8.6
,,,UZB,16_101_,Total,True,2019.0,8.6
,,,UZB,16_101_,Total,True,2020.0,8.7
,,,UZB,16_101_,Total,True,2021.0,8.7
