Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Unit multiplier,COMPOSITE_BREAKDOWN,unique_id,col_caption_name,year,value
2011.0,millions tonnes,_L_KZ_090102_1J,Almaty,142.7,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Atyrau,71.5,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,33.8,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Zhambyl,70.5,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Karagandy,551.1,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Kostanay,268.0,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Kyzylorda,95.5,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Mangistau,182.0,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,106.5,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Pavlodar,70.2,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,46.0,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,417.9,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,97.2,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Almaty city,155.6,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,,16622.4,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Akmola,1385.8,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Aktobe,199.3,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Almaty,550.8,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Atyrau,126.9,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,364.7,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Zhambyl,745.8,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Karagandy,1993.3,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Kostanay,1436.5,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Kyzylorda,193.2,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Mangistau,73.8,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,1799.6,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Pavlodar,1044.1,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,453.9,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,1419.3,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Nur-Sultan city,1647.9,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,Almaty city,3187.5,KAZ,,,,,,
2011.0,tons,transported by air,,31554.9,KAZ,,,,,,
2011.0,tons,transported by air,Karagandy,6.6,KAZ,,,,,,
2011.0,tons,transported by air,Ontustik Kazakhstan,583.0,KAZ,,,,,,
2011.0,tons,transported by air,Shygys Kazakhstan,44.0,KAZ,,,,,,
2011.0,tons,transported by air,Almaty city,30921.3,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,,4131.3,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Almaty,27.8,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Atyrau,0.8,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Karagandy,12.2,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Mangistau,23.8,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Ontustik Kazakhstan,900.2,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Pavlodar,0.8,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Nur-Sultan city,17.2,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Almaty city,24.2,KAZ,,,,,,
2011.0,thousand people,passengers transported by air,Shymkent city,3124.3,KAZ,,,,,,
2011.0,millions tonnes,performance indicators of pipeline transport,,214.1,KAZ,,,,,,
2011.0,millions tonnes,performance indicators of pipeline transport,Atyrau,68.1,KAZ,,,,,,
2011.0,millions tonnes,performance indicators of pipeline transport,Pavlodar,26.3,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1R,,4.6,KAZ,,,,,,
