Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,COMPOSITE_BREAKDOWN
2014,thousands,_L_KZ_170602_1B,Aktobe,45.8,KAZ,
2014,thousands,_L_KZ_170602_1B,Almaty,76.9,KAZ,
2014,thousands,_L_KZ_170602_1B,Atyrau,44.7,KAZ,
2014,thousands,_L_KZ_170602_1B,Batys Kazakhstan,21.5,KAZ,
2014,thousands,_L_KZ_170602_1B,Zhambyl,30.1,KAZ,
2014,thousands,_L_KZ_170602_1B,Karagandy,86.9,KAZ,
2014,thousands,_L_KZ_170602_1B,Kostanay,64.5,KAZ,
2014,thousands,_L_KZ_170602_1B,Kyzylorda,20.9,KAZ,
2014,thousands,_L_KZ_170602_1B,Mangistau,26.8,KAZ,
2014,thousands,_L_KZ_170602_1B,Ontustik Kazakhstan,47.9,KAZ,
2014,thousands,_L_KZ_170602_1B,Pavlodar,49.8,KAZ,
2014,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,37.5,KAZ,
2014,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,65.2,KAZ,
2014,thousands,_L_KZ_170602_1B,Nur-Sultan city,44.6,KAZ,
2014,thousands,_L_KZ_170602_1B,Almaty city,165.8,KAZ,
2014,thousands,_L_KZ_170602_1A,Akmola,16.8,KAZ,
2014,thousands,_L_KZ_170602_1A,Aktobe,16.7,KAZ,
2014,thousands,_L_KZ_170602_1A,Almaty,22.5,KAZ,
2014,thousands,_L_KZ_170602_1A,Atyrau,18.3,KAZ,
2014,thousands,_L_KZ_170602_1A,Batys Kazakhstan,12.2,KAZ,
2014,thousands,_L_KZ_170602_1A,Zhambyl,12.4,KAZ,
2014,thousands,_L_KZ_170602_1A,Karagandy,55.4,KAZ,
2014,thousands,_L_KZ_170602_1A,Kostanay,24.1,KAZ,
2014,thousands,_L_KZ_170602_1A,Kyzylorda,9.4,KAZ,
2014,thousands,_L_KZ_170602_1A,Mangistau,21.0,KAZ,
2014,thousands,_L_KZ_170602_1A,Ontustik Kazakhstan,17.6,KAZ,
2014,thousands,_L_KZ_170602_1A,Pavlodar,29.3,KAZ,
2014,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,9.6,KAZ,
2014,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,37.6,KAZ,
2014,thousands,_L_KZ_170602_1A,Nur-Sultan city,44.6,KAZ,
2014,thousands,_L_KZ_170602_1A,Almaty city,509.5,KAZ,
2015,thousands,,,2301.0,KAZ,
2015,thousands,_L_KZ_170602_1C,,271.6,KAZ,
2015,thousands,_L_KZ_170602_1C,Akmola,14.0,KAZ,
2015,thousands,_L_KZ_170602_1C,Aktobe,11.5,KAZ,
2015,thousands,_L_KZ_170602_1C,Almaty,9.6,KAZ,
2015,thousands,_L_KZ_170602_1C,Atyrau,7.0,KAZ,
2015,thousands,_L_KZ_170602_1C,Batys Kazakhstan,8.2,KAZ,
2015,thousands,_L_KZ_170602_1C,Zhambyl,10.6,KAZ,
2015,thousands,_L_KZ_170602_1C,Karagandy,15.6,KAZ,
2015,thousands,_L_KZ_170602_1C,Kostanay,20.0,KAZ,
2015,thousands,_L_KZ_170602_1C,Kyzylorda,9.6,KAZ,
2015,thousands,_L_KZ_170602_1C,Mangistau,3.3,KAZ,
2015,thousands,_L_KZ_170602_1C,Ontustik Kazakhstan,13.7,KAZ,
2015,thousands,_L_KZ_170602_1C,Pavlodar,11.6,KAZ,
2015,thousands,_L_KZ_170602_1C,Soltustik Kazakhstan,17.9,KAZ,
2015,thousands,_L_KZ_170602_1C,Shygys Kazakhstan,9.2,KAZ,
2015,thousands,_L_KZ_170602_1C,Nur-Sultan city,53.2,KAZ,
2015,thousands,_L_KZ_170602_1C,Almaty city,56.8,KAZ,
2015,thousands,_L_KZ_170602_1B,,767.1,KAZ,
2015,thousands,_L_KZ_170602_1B,Akmola,54.6,KAZ,
2015,thousands,_L_KZ_170602_1B,Aktobe,40.4,KAZ,
2015,thousands,_L_KZ_170602_1B,Almaty,79.6,KAZ,
2015,thousands,_L_KZ_170602_1B,Atyrau,42.5,KAZ,
2015,thousands,_L_KZ_170602_1B,Batys Kazakhstan,18.9,KAZ,
2015,thousands,_L_KZ_170602_1B,Zhambyl,26.9,KAZ,
2015,thousands,_L_KZ_170602_1B,Karagandy,71.5,KAZ,
2015,thousands,_L_KZ_170602_1B,Kostanay,45.7,KAZ,
2015,thousands,_L_KZ_170602_1B,Kyzylorda,19.3,KAZ,
2015,thousands,_L_KZ_170602_1B,Mangistau,27.5,KAZ,
2015,thousands,_L_KZ_170602_1B,Ontustik Kazakhstan,42.8,KAZ,
2015,thousands,_L_KZ_170602_1B,Pavlodar,44.2,KAZ,
2015,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,37.9,KAZ,
2015,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,58.9,KAZ,
2015,thousands,_L_KZ_170602_1B,Nur-Sultan city,44.3,KAZ,
2015,thousands,_L_KZ_170602_1B,Almaty city,112.2,KAZ,
2015,thousands,_L_KZ_170602_1A,Akmola,22.3,KAZ,
2015,thousands,_L_KZ_170602_1A,Aktobe,20.5,KAZ,
2015,thousands,_L_KZ_170602_1A,Almaty,26.6,KAZ,
2015,thousands,_L_KZ_170602_1A,Atyrau,18.8,KAZ,
2015,thousands,_L_KZ_170602_1A,Batys Kazakhstan,14.8,KAZ,
2015,thousands,_L_KZ_170602_1A,Zhambyl,12.0,KAZ,
2015,thousands,_L_KZ_170602_1A,Karagandy,64.7,KAZ,
2015,thousands,_L_KZ_170602_1A,Kostanay,37.2,KAZ,
2015,thousands,_L_KZ_170602_1A,Kyzylorda,11.2,KAZ,
2015,thousands,_L_KZ_170602_1A,Mangistau,23.9,KAZ,
2015,thousands,_L_KZ_170602_1A,Ontustik Kazakhstan,21.1,KAZ,
2015,thousands,_L_KZ_170602_1A,Pavlodar,39.4,KAZ,
2015,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,18.8,KAZ,
2015,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,52.2,KAZ,
2015,thousands,_L_KZ_170602_1A,Nur-Sultan city,46.2,KAZ,
2015,thousands,_L_KZ_170602_1A,Almaty city,580.9,KAZ,
2016,thousands,,,2349.9,KAZ,
2016,thousands,_L_KZ_170602_1C,,197.4,KAZ,
2016,thousands,_L_KZ_170602_1C,Akmola,4.0,KAZ,
2016,thousands,_L_KZ_170602_1C,Aktobe,11.1,KAZ,
2016,thousands,_L_KZ_170602_1C,Almaty,8.9,KAZ,
2016,thousands,_L_KZ_170602_1C,Atyrau,6.2,KAZ,
2016,thousands,_L_KZ_170602_1C,Batys Kazakhstan,4.3,KAZ,
2016,thousands,_L_KZ_170602_1C,Zhambyl,3.6,KAZ,
2016,thousands,_L_KZ_170602_1C,Karagandy,8.2,KAZ,
2016,thousands,_L_KZ_170602_1C,Kostanay,19.8,KAZ,
2016,thousands,_L_KZ_170602_1C,Kyzylorda,7.8,KAZ,
2016,thousands,_L_KZ_170602_1C,Mangistau,12.0,KAZ,
2016,thousands,_L_KZ_170602_1C,Ontustik Kazakhstan,7.1,KAZ,
2016,thousands,_L_KZ_170602_1C,Pavlodar,5.0,KAZ,
2016,thousands,_L_KZ_170602_1C,Soltustik Kazakhstan,17.8,KAZ,
2016,thousands,_L_KZ_170602_1C,Shygys Kazakhstan,28.5,KAZ,
2016,thousands,_L_KZ_170602_1C,Nur-Sultan city,23.7,KAZ,
2016,thousands,_L_KZ_170602_1C,Almaty city,29.5,KAZ,
2016,thousands,_L_KZ_170602_1B,,837.7,KAZ,
2016,thousands,_L_KZ_170602_1B,Akmola,68.5,KAZ,
2016,thousands,_L_KZ_170602_1B,Aktobe,42.0,KAZ,
2016,thousands,_L_KZ_170602_1B,Almaty,104.6,KAZ,
2016,thousands,_L_KZ_170602_1B,Atyrau,44.7,KAZ,
