Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,as a percentage to the previous year,Batys Kazakhstan,99.7,KAZ,,,,,
2015.0,as a percentage to the previous year,Zhambyl,104.1,KAZ,,,,,
2015.0,as a percentage to the previous year,Karagandy,101.2,KAZ,,,,,
2015.0,as a percentage to the previous year,Kostanay,96.6,KAZ,,,,,
2015.0,as a percentage to the previous year,Kyzylorda,97.1,KAZ,,,,,
2015.0,as a percentage to the previous year,Mangistau,90.8,KAZ,,,,,
2015.0,as a percentage to the previous year,Ontustik Kazakhstan,102.9,KAZ,,,,,
2015.0,as a percentage to the previous year,Pavlodar,101.1,KAZ,,,,,
2015.0,as a percentage to the previous year,Soltustik Kazakhstan,99.5,KAZ,,,,,
2015.0,as a percentage to the previous year,Shygys Kazakhstan,101.7,KAZ,,,,,
2015.0,as a percentage to the previous year,Nur-Sultan city,99.3,KAZ,,,,,
2015.0,as a percentage to the previous year,Almaty city,95.6,KAZ,,,,,
2016.0,as a percentage to the previous year,,100.2,KAZ,,,,,
2016.0,as a percentage to the previous year,Akmola,101.7,KAZ,,,,,
2016.0,as a percentage to the previous year,Aktobe,102.4,KAZ,,,,,
2016.0,as a percentage to the previous year,Almaty,99.5,KAZ,,,,,
2016.0,as a percentage to the previous year,Atyrau,104.0,KAZ,,,,,
2016.0,as a percentage to the previous year,Batys Kazakhstan,101.9,KAZ,,,,,
2016.0,as a percentage to the previous year,Zhambyl,103.1,KAZ,,,,,
2016.0,as a percentage to the previous year,Karagandy,103.3,KAZ,,,,,
2016.0,as a percentage to the previous year,Kostanay,97.2,KAZ,,,,,
2016.0,as a percentage to the previous year,Kyzylorda,88.7,KAZ,,,,,
2016.0,as a percentage to the previous year,Mangistau,99.6,KAZ,,,,,
2016.0,as a percentage to the previous year,Ontustik Kazakhstan,101.0,KAZ,,,,,
2016.0,as a percentage to the previous year,Pavlodar,100.7,KAZ,,,,,
2016.0,as a percentage to the previous year,Soltustik Kazakhstan,102.8,KAZ,,,,,
2016.0,as a percentage to the previous year,Shygys Kazakhstan,102.5,KAZ,,,,,
2016.0,as a percentage to the previous year,Nur-Sultan city,102.5,KAZ,,,,,
2016.0,as a percentage to the previous year,Almaty city,99.3,KAZ,,,,,
2017.0,as a percentage to the previous year,,104.3,KAZ,,,,,
2017.0,as a percentage to the previous year,Akmola,105.9,KAZ,,,,,
2017.0,as a percentage to the previous year,Aktobe,106.3,KAZ,,,,,
2017.0,as a percentage to the previous year,Almaty,103.7,KAZ,,,,,
2017.0,as a percentage to the previous year,Atyrau,116.4,KAZ,,,,,
2017.0,as a percentage to the previous year,Batys Kazakhstan,103.4,KAZ,,,,,
2017.0,as a percentage to the previous year,Zhambyl,104.7,KAZ,,,,,
2017.0,as a percentage to the previous year,Karagandy,107.9,KAZ,,,,,
2017.0,as a percentage to the previous year,Kostanay,107.7,KAZ,,,,,
2017.0,as a percentage to the previous year,Kyzylorda,96.7,KAZ,,,,,
2017.0,as a percentage to the previous year,Mangistau,101.0,KAZ,,,,,
2017.0,as a percentage to the previous year,Ontustik Kazakhstan,105.9,KAZ,,,,,
2017.0,as a percentage to the previous year,Pavlodar,107.5,KAZ,,,,,
2017.0,as a percentage to the previous year,Soltustik Kazakhstan,107.9,KAZ,,,,,
2017.0,as a percentage to the previous year,Shygys Kazakhstan,101.9,KAZ,,,,,
2017.0,as a percentage to the previous year,Nur-Sultan city,97.4,KAZ,,,,,
2017.0,as a percentage to the previous year,Almaty city,102.1,KAZ,,,,,
2018.0,as a percentage to the previous year,,103.1,KAZ,,,,,
2018.0,as a percentage to the previous year,Akmola,103.0,KAZ,,,,,
2018.0,as a percentage to the previous year,Aktobe,104.1,KAZ,,,,,
2018.0,as a percentage to the previous year,Almaty,103.5,KAZ,,,,,
2018.0,as a percentage to the previous year,Atyrau,108.6,KAZ,,,,,
2018.0,as a percentage to the previous year,Batys Kazakhstan,97.9,KAZ,,,,,
2018.0,as a percentage to the previous year,Zhambyl,102.5,KAZ,,,,,
2018.0,as a percentage to the previous year,Karagandy,103.0,KAZ,,,,,
2018.0,as a percentage to the previous year,Kostanay,109.8,KAZ,,,,,
2018.0,as a percentage to the previous year,Kyzylorda,99.2,KAZ,,,,,
2018.0,as a percentage to the previous year,Mangistau,92.3,KAZ,,,,,
2018.0,as a percentage to the previous year,Pavlodar,105.6,KAZ,,,,,
2018.0,as a percentage to the previous year,Soltustik Kazakhstan,102.2,KAZ,,,,,
2018.0,as a percentage to the previous year,Turkistan,101.1,KAZ,,,,,
2018.0,as a percentage to the previous year,Shygys Kazakhstan,110.3,KAZ,,,,,
2018.0,as a percentage to the previous year,Nur-Sultan city,88.0,KAZ,,,,,
2018.0,as a percentage to the previous year,Almaty city,102.0,KAZ,,,,,
2018.0,as a percentage to the previous year,Shymkent city,110.8,KAZ,,,,,
2019.0,as a percentage to the previous year,,103.7,KAZ,,,,,
2019.0,as a percentage to the previous year,Akmola,103.3,KAZ,,,,,
2019.0,as a percentage to the previous year,Aktobe,105.3,KAZ,,,,,
2019.0,as a percentage to the previous year,Almaty,104.9,KAZ,,,,,
2019.0,as a percentage to the previous year,Atyrau,103.4,KAZ,,,,,
2019.0,as a percentage to the previous year,Batys Kazakhstan,98.2,KAZ,,,,,
2019.0,as a percentage to the previous year,Zhambyl,105.0,KAZ,,,,,
2019.0,as a percentage to the previous year,Karagandy,105.2,KAZ,,,,,
2019.0,as a percentage to the previous year,Kostanay,105.9,KAZ,,,,,
2019.0,as a percentage to the previous year,Kyzylorda,101.7,KAZ,,,,,
2019.0,as a percentage to the previous year,Mangistau,100.9,KAZ,,,,,
2019.0,as a percentage to the previous year,Pavlodar,106.3,KAZ,,,,,
2019.0,as a percentage to the previous year,Soltustik Kazakhstan,102.8,KAZ,,,,,
2019.0,as a percentage to the previous year,Turkistan,109.0,KAZ,,,,,
2019.0,as a percentage to the previous year,Shygys Kazakhstan,105.1,KAZ,,,,,
2019.0,as a percentage to the previous year,Nur-Sultan city,98.9,KAZ,,,,,
2019.0,as a percentage to the previous year,Almaty city,101.8,KAZ,,,,,
2019.0,as a percentage to the previous year,Shymkent city,97.6,KAZ,,,,,
2020.0,as a percentage to the previous year,,97.5,KAZ,,,,,
2020.0,as a percentage to the previous year,Akmola,105.5,KAZ,,,,,
2020.0,as a percentage to the previous year,Aktobe,97.7,KAZ,,,,,
2020.0,as a percentage to the previous year,Almaty,99.7,KAZ,,,,,
2020.0,as a percentage to the previous year,Atyrau,94.1,KAZ,,,,,
2020.0,as a percentage to the previous year,Batys Kazakhstan,99.2,KAZ,,,,,
2020.0,as a percentage to the previous year,Zhambyl,102.5,KAZ,,,,,
2020.0,as a percentage to the previous year,Karagandy,101.0,KAZ,,,,,
2020.0,as a percentage to the previous year,Kostanay,104.9,KAZ,,,,,
2020.0,as a percentage to the previous year,Kyzylorda,90.0,KAZ,,,,,
2020.0,as a percentage to the previous year,Mangistau,93.7,KAZ,,,,,
2020.0,as a percentage to the previous year,Pavlodar,97.8,KAZ,,,,,
2020.0,as a percentage to the previous year,Soltustik Kazakhstan,100.7,KAZ,,,,,
2020.0,as a percentage to the previous year,Turkistan,106.2,KAZ,,,,,
2020.0,as a percentage to the previous year,Shygys Kazakhstan,102.1,KAZ,,,,,
2020.0,as a percentage to the previous year,Nur-Sultan city,98.9,KAZ,,,,,
2020.0,as a percentage to the previous year,Almaty city,92.2,KAZ,,,,,
2020.0,as a percentage to the previous year,Shymkent city,100.8,KAZ,,,,,
2007.0,,,106.9,KGZ,,,,,
2008.0,,,108.3,KGZ,,,,,
2009.0,,,102.4,KGZ,,,,,
2010.0,,,98.4,KGZ,,,,,
2011.0,,,104.3,KGZ,,,,,
2012.0,,,98.8,KGZ,,,,,
2013.0,,,111.3,KGZ,,,,,
2014.0,,,101.4,KGZ,,,,,
2015.0,,,101.8,KGZ,,,,,
2016.0,,,105.7,KGZ,,,,,
2017.0,,,105.4,KGZ,,,,,
2018.0,,,103.6,KGZ,,,,,
2019.0,,,102.9,KGZ,,,,,
2020.0,,,90.6,KGZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,2.7
,,,,UZB,01_101_,Total,True,2001.0,2.4
,,,,UZB,01_101_,Total,True,2002.0,1.8
,,,,UZB,01_101_,Total,True,2003.0,1.4
,,,,UZB,01_101_,Total,True,2004.0,4.0
,,,,UZB,01_101_,Total,True,2005.0,4.0
,,,,UZB,01_101_,Total,True,2006.0,4.7
,,,,UZB,01_101_,Total,True,2007.0,6.7
,,,,UZB,01_101_,Total,True,2008.0,6.1
,,,,UZB,01_101_,Total,True,2009.0,5.3
,,,,UZB,01_101_,Total,True,2010.0,4.3
,,,,UZB,01_101_,Total,True,2011.0,4.9
,,,,UZB,01_101_,Total,True,2012.0,4.4
,,,,UZB,01_101_,Total,True,2013.0,4.7
,,,,UZB,01_101_,Total,True,2014.0,4.4
,,,,UZB,01_101_,Total,True,2015.0,5.2
,,,,UZB,01_101_,Total,True,2016.0,4.0
,,,,UZB,01_101_,Total,True,2017.0,2.7
,,,,UZB,01_101_,Total,True,2018.0,7.3
,,,,UZB,01_101_,Total,True,2019.0,3.6
,,,,UZB,01_101_,Total,True,2020.0,4.0
,,,,UZB,01_101_,Total,True,2021.0,5.0
