Year,Reference area,Sex,GeoCode,Value,M49_country_code
2021,Osh,Female,KG06,9,KGZ
2007,Talas,,KG07,1,KGZ
2010,Talas,,KG07,4,KGZ
2011,Talas,,KG07,6,KGZ
2013,Talas,,KG07,5,KGZ
2021,Talas,,KG07,9,KGZ
2007,Talas,Male,KG07,1,KGZ
2010,Talas,Male,KG07,3,KGZ
2011,Talas,Male,KG07,4,KGZ
2013,Talas,Male,KG07,4,KGZ
2021,Talas,Male,KG07,7,KGZ
2010,Talas,Female,KG07,1,KGZ
2011,Talas,Female,KG07,2,KGZ
2013,Talas,Female,KG07,1,KGZ
2021,Talas,Female,KG07,2,KGZ
2007,Chui,,KG08,35,KGZ
2008,Chui,,KG08,102,KGZ
2009,Chui,,KG08,19,KGZ
2010,Chui,,KG08,46,KGZ
2011,Chui,,KG08,41,KGZ
2012,Chui,,KG08,23,KGZ
2013,Chui,,KG08,22,KGZ
2014,Chui,,KG08,13,KGZ
2015,Chui,,KG08,15,KGZ
2016,Chui,,KG08,14,KGZ
2017,Chui,,KG08,55,KGZ
2018,Chui,,KG08,10,KGZ
2019,Chui,,KG08,6,KGZ
2020,Chui,,KG08,24,KGZ
2021,Chui,,KG08,20,KGZ
2007,Chui,Male,KG08,28,KGZ
2008,Chui,Male,KG08,76,KGZ
2009,Chui,Male,KG08,12,KGZ
2010,Chui,Male,KG08,32,KGZ
2011,Chui,Male,KG08,30,KGZ
2012,Chui,Male,KG08,15,KGZ
2013,Chui,Male,KG08,12,KGZ
2014,Chui,Male,KG08,7,KGZ
2015,Chui,Male,KG08,8,KGZ
2016,Chui,Male,KG08,11,KGZ
2017,Chui,Male,KG08,31,KGZ
2018,Chui,Male,KG08,7,KGZ
2019,Chui,Male,KG08,2,KGZ
2020,Chui,Male,KG08,10,KGZ
2021,Chui,Male,KG08,9,KGZ
2007,Chui,Female,KG08,7,KGZ
2008,Chui,Female,KG08,26,KGZ
2009,Chui,Female,KG08,7,KGZ
2010,Chui,Female,KG08,14,KGZ
2011,Chui,Female,KG08,11,KGZ
2012,Chui,Female,KG08,8,KGZ
2013,Chui,Female,KG08,10,KGZ
2014,Chui,Female,KG08,6,KGZ
2015,Chui,Female,KG08,7,KGZ
2016,Chui,Female,KG08,3,KGZ
2017,Chui,Female,KG08,24,KGZ
2018,Chui,Female,KG08,3,KGZ
2019,Chui,Female,KG08,4,KGZ
2020,Chui,Female,KG08,14,KGZ
2021,Chui,Female,KG08,11,KGZ
2007,Bishkek (city),,KG11,12,KGZ
2008,Bishkek (city),,KG11,1,KGZ
2010,Bishkek (city),,KG11,14,KGZ
2011,Bishkek (city),,KG11,19,KGZ
2012,Bishkek (city),,KG11,3,KGZ
2014,Bishkek (city),,KG11,2,KGZ
2016,Bishkek (city),,KG11,7,KGZ
2007,Bishkek (city),Male,KG11,9,KGZ
2008,Bishkek (city),Male,KG11,1,KGZ
2010,Bishkek (city),Male,KG11,9,KGZ
2011,Bishkek (city),Male,KG11,11,KGZ
2012,Bishkek (city),Male,KG11,2,KGZ
2016,Bishkek (city),Male,KG11,7,KGZ
2007,Bishkek (city),Female,KG11,3,KGZ
2010,Bishkek (city),Female,KG11,5,KGZ
2011,Bishkek (city),Female,KG11,8,KGZ
2012,Bishkek (city),Female,KG11,1,KGZ
2014,Bishkek (city),Female,KG11,2,KGZ
2007,Osh (city),,KG21,7,KGZ
2010,Osh (city),,KG21,6,KGZ
2011,Osh (city),,KG21,4,KGZ
2015,Osh (city),,KG21,1,KGZ
2018,Osh (city),,KG21,1,KGZ
2007,Osh (city),Male,KG21,5,KGZ
2010,Osh (city),Male,KG21,4,KGZ
2011,Osh (city),Male,KG21,2,KGZ
2015,Osh (city),Male,KG21,1,KGZ
2018,Osh (city),Male,KG21,1,KGZ
2007,Osh (city),Female,KG21,2,KGZ
2010,Osh (city),Female,KG21,2,KGZ
2011,Osh (city),Female,KG21,2,KGZ
