Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Kostanay,0.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Kyzylorda,3.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Mangistau,0.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Pavlodar,11.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Soltustik Kazakhstan,7.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Turkistan,3.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Shygys Kazakhstan,50.0,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],,12548.6,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Akmola,378.0,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Aktobe,47.9,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Almaty,1851.7,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Atyrau,15.8,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Batys Kazakhstan,106.1,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Zhambyl,2222.3,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Karagandy,156.0,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kostanay,224.1,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kyzylorda,3056.8,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Mangistau,122.8,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Pavlodar,249.3,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Soltustik Kazakhstan,529.7,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Turkistan,1614.1,KAZ
2012,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Shygys Kazakhstan,1974.1,KAZ
2013,thousands hectares,_L_KZ_150201_1A,,12593.9,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Akmola,379.3,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Aktobe,49.8,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Almaty,1854.4,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Atyrau,16.4,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Batys Kazakhstan,106.1,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Zhambyl,2231.0,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Karagandy,155.6,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Kostanay,229.0,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Kyzylorda,3055.0,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Mangistau,122.4,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Pavlodar,250.5,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Soltustik Kazakhstan,529.3,KAZ
2013,thousands hectares,_L_KZ_150201_1A,Turkistan,1614.2,KAZ
