Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code
2011,per 100000 population,Nur-Sultan city,,Male,20.34,KAZ
2011,per 100000 population,Almaty city,,Male,14.99,KAZ
2011,per 100000 population,,urban,Male,31.55,KAZ
2011,per 100000 population,Akmola,urban,Male,48.13,KAZ
2011,per 100000 population,Aktobe,urban,Male,26.5,KAZ
2011,per 100000 population,Almaty,urban,Male,38.14,KAZ
2011,per 100000 population,Atyrau,urban,Male,23.61,KAZ
2011,per 100000 population,Batys Kazakhstan,urban,Male,43.41,KAZ
2011,per 100000 population,Zhambyl,urban,Male,34.66,KAZ
2011,per 100000 population,Karagandy,urban,Male,46.58,KAZ
2011,per 100000 population,Kostanay,urban,Male,57.58,KAZ
2011,per 100000 population,Kyzylorda,urban,Male,9.62,KAZ
2011,per 100000 population,Mangistau,urban,Male,15.48,KAZ
2011,per 100000 population,Ontustik Kazakhstan,urban,Male,16.36,KAZ
2011,per 100000 population,Pavlodar,urban,Male,42.8,KAZ
2011,per 100000 population,Soltustik Kazakhstan,urban,Male,23.16,KAZ
2011,per 100000 population,Shygys Kazakhstan,urban,Male,55.64,KAZ
2011,per 100000 population,Nur-Sultan city,urban,Male,20.34,KAZ
2011,per 100000 population,Almaty city,urban,Male,14.99,KAZ
2011,per 100000 population,,rural,Male,39.81,KAZ
2011,per 100000 population,Akmola,rural,Male,68.26,KAZ
2011,per 100000 population,Aktobe,rural,Male,35.36,KAZ
2011,per 100000 population,Almaty,rural,Male,33.68,KAZ
2011,per 100000 population,Atyrau,rural,Male,25.62,KAZ
2011,per 100000 population,Batys Kazakhstan,rural,Male,69.34,KAZ
2011,per 100000 population,Zhambyl,rural,Male,26.42,KAZ
2011,per 100000 population,Karagandy,rural,Male,65.42,KAZ
2011,per 100000 population,Kostanay,rural,Male,86.18,KAZ
2011,per 100000 population,Kyzylorda,rural,Male,14.49,KAZ
2011,per 100000 population,Mangistau,rural,Male,13.88,KAZ
2011,per 100000 population,Ontustik Kazakhstan,rural,Male,16.61,KAZ
2011,per 100000 population,Pavlodar,rural,Male,77.18,KAZ
2011,per 100000 population,Soltustik Kazakhstan,rural,Male,34.43,KAZ
2011,per 100000 population,Shygys Kazakhstan,rural,Male,77.87,KAZ
2011,per 100000 population,,,Female,7.18,KAZ
2011,per 100000 population,Akmola,,Female,12.4,KAZ
2011,per 100000 population,Aktobe,,Female,5.67,KAZ
