Year,UNIT_MEASURE,Regions,Value,M49_country_code
2012,thousands hectares,Pavlodar,1297.2,KAZ
2012,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2012,thousands hectares,Turkistan,4066.6,KAZ
2012,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2012,thousands hectares,Almaty city,0.1,KAZ
2012,thousands hectares,Shymkent city,23.2,KAZ
2013,thousands hectares,,17.15395157606213,KAZ
2013,thousands hectares,Akmola,571.6,KAZ
2013,thousands hectares,Aktobe,2582.5,KAZ
2013,thousands hectares,Almaty,5767.9,KAZ
2013,thousands hectares,Atyrau,3133.9,KAZ
2013,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2013,thousands hectares,Zhambyl,2636.7,KAZ
2013,thousands hectares,Karagandy,960.1,KAZ
2013,thousands hectares,Kostanay,769.9,KAZ
2013,thousands hectares,Kyzylorda,2849.6,KAZ
2013,thousands hectares,Mangistau,1456.3,KAZ
2013,thousands hectares,Pavlodar,1297.2,KAZ
2013,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2013,thousands hectares,Turkistan,4066.6,KAZ
2013,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2013,thousands hectares,Almaty city,0.1,KAZ
2013,thousands hectares,Shymkent city,23.2,KAZ
2014,thousands hectares,,21.348751156336725,KAZ
2014,thousands hectares,Akmola,571.6,KAZ
2014,thousands hectares,Aktobe,2582.5,KAZ
2014,thousands hectares,Almaty,5767.9,KAZ
2014,thousands hectares,Atyrau,3133.9,KAZ
2014,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2014,thousands hectares,Zhambyl,2636.7,KAZ
2014,thousands hectares,Karagandy,960.1,KAZ
2014,thousands hectares,Kostanay,769.9,KAZ
2014,thousands hectares,Kyzylorda,2849.6,KAZ
2014,thousands hectares,Mangistau,1456.3,KAZ
2014,thousands hectares,Pavlodar,1297.2,KAZ
2014,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2014,thousands hectares,Turkistan,4066.6,KAZ
2014,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2014,thousands hectares,Almaty city,0.1,KAZ
2014,thousands hectares,Shymkent city,23.2,KAZ
2015,thousands hectares,,18.7378892733564,KAZ
2015,thousands hectares,Akmola,571.6,KAZ
2015,thousands hectares,Aktobe,2582.5,KAZ
2015,thousands hectares,Almaty,5767.9,KAZ
2015,thousands hectares,Atyrau,3133.9,KAZ
2015,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2015,thousands hectares,Zhambyl,2636.7,KAZ
2015,thousands hectares,Karagandy,960.1,KAZ
2015,thousands hectares,Kostanay,769.9,KAZ
2015,thousands hectares,Kyzylorda,2849.6,KAZ
2015,thousands hectares,Mangistau,1456.3,KAZ
2015,thousands hectares,Pavlodar,1297.2,KAZ
2015,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2015,thousands hectares,Turkistan,4066.6,KAZ
2015,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2015,thousands hectares,Almaty city,0.1,KAZ
2015,thousands hectares,Shymkent city,23.2,KAZ
2016,thousands hectares,,13.521250000000002,KAZ
